EnsEMBL_Gene_ID	184A1
ENSG00000000003	95.2125479443
ENSG00000001167	89.5126185836
ENSG00000005471	0.0000000000
ENSG00000066629	24.7013968210
ENSG00000154258	0.0000000000
ENSG00000154262	0.0783950334
ENSG00000154263	0.7541574974
ENSG00000154265	7.8329076707
ENSG00000154269	0.0000000000
ENSG00000154274	26.2293117705
ENSG00000154277	3.9197828899
ENSG00000154305	42.3011404559
ENSG00000154309	12.1752560271
ENSG00000154310	30.7159596837
ENSG00000066651	39.7564680239
ENSG00000154316	1.5640742369
ENSG00000154319	66.2476539091
ENSG00000154328	39.3682589569
ENSG00000154330	0.0000000000
ENSG00000154342	0.0000000000
ENSG00000154358	2.9200962472
ENSG00000154359	11.2603639230
ENSG00000154370	76.9755358651
ENSG00000154380	56.2649096063
ENSG00000154415	0.0000000000
ENSG00000066654	57.5772460005
ENSG00000154429	15.8908653256
ENSG00000154438	0.0000000000
ENSG00000154447	68.2125314862
ENSG00000154451	0.1714203539
ENSG00000154473	665.7990859707
ENSG00000154474	0.0000000000
ENSG00000154478	0.0000000000
ENSG00000154479	2.0904581334
ENSG00000154485	0.0000000000
ENSG00000154493	0.4419818781
ENSG00000066697	74.4131206122
ENSG00000154511	43.0216604542
ENSG00000154518	1058.8545763288
ENSG00000154529	11.1587358496
ENSG00000154537	0.8832460079
ENSG00000154545	0.0000000000
ENSG00000154548	0.3428532350
ENSG00000154553	0.0000000000
ENSG00000154556	10.8513812474
ENSG00000154582	919.6800655798
ENSG00000154589	0.0000000000
ENSG00000066735	1.0951934753
ENSG00000154608	0.6828620017
ENSG00000154611	0.0000000000
ENSG00000154620	0.0000000000
ENSG00000154639	8.6966371437
ENSG00000154640	151.7625233036
ENSG00000154642	14.7318174254
ENSG00000154645	0.0000000000
ENSG00000154646	0.0000000000
ENSG00000154654	0.0506935405
ENSG00000154655	0.0000000000
ENSG00000066739	27.5514729888
ENSG00000154678	7.0360731020
ENSG00000154710	82.2287634346
ENSG00000154719	274.0801641710
ENSG00000154721	0.4397305565
ENSG00000154723	527.4849791041
ENSG00000154727	29.6640906580
ENSG00000154734	51.6468135924
ENSG00000154736	0.0458965396
ENSG00000154743	60.2647468162
ENSG00000154760	5.3365034284
ENSG00000066777	101.0328985901
ENSG00000154764	37.7648214488
ENSG00000154767	238.2891166326
ENSG00000154768	2.1909869075
ENSG00000154781	40.4947565918
ENSG00000154783	0.0000000000
ENSG00000154803	32.3153595467
ENSG00000154813	113.0230013382
ENSG00000154814	37.6633233832
ENSG00000154822	33.3067968826
ENSG00000154832	259.1960951553
ENSG00000066813	0.0000000000
ENSG00000154839	66.1780922191
ENSG00000154845	323.4604780111
