EnsEMBL_Gene_ID	MCF10A
ENSG00000000003	80.8424254076
ENSG00000001167	138.2271339725
ENSG00000005471	0.0000000000
ENSG00000066629	41.3650455303
ENSG00000154258	1.3593709480
ENSG00000154262	29.3546297425
ENSG00000154263	5.1953050632
ENSG00000154265	4.7015621406
ENSG00000154269	0.0625259573
ENSG00000154274	0.3872796397
ENSG00000154277	1.6380024107
ENSG00000154305	79.2254203175
ENSG00000154309	14.3126986618
ENSG00000154310	4.8306762668
ENSG00000066651	97.4483044097
ENSG00000154316	0.0000000000
ENSG00000154319	56.4948972958
ENSG00000154328	73.7349179926
ENSG00000154330	0.0000000000
ENSG00000154342	0.0000000000
ENSG00000154358	2.2044637430
ENSG00000154359	37.7598331221
ENSG00000154370	89.8711785575
ENSG00000154380	101.1878227770
ENSG00000154415	0.0000000000
ENSG00000066654	58.0270796973
ENSG00000154429	40.2775884309
ENSG00000154438	0.0000000000
ENSG00000154447	33.2206488923
ENSG00000154451	0.0000000000
ENSG00000154473	575.3308937292
ENSG00000154474	1.0511296869
ENSG00000154478	0.0000000000
ENSG00000154479	0.4606645784
ENSG00000154485	0.0000000000
ENSG00000154493	0.2586877594
ENSG00000066697	53.8857245873
ENSG00000154511	43.9795046731
ENSG00000154518	1007.6844886468
ENSG00000154529	3.2395575505
ENSG00000154537	0.0000000000
ENSG00000154545	0.0000000000
ENSG00000154548	3.0434443424
ENSG00000154553	0.2102982856
ENSG00000154556	6.6878052722
ENSG00000154582	854.4532352523
ENSG00000154589	0.0000000000
ENSG00000066735	0.0000000000
ENSG00000154608	0.8247755132
ENSG00000154611	0.0000000000
ENSG00000154620	0.0000000000
ENSG00000154639	7.0191527712
ENSG00000154640	206.4629242347
ENSG00000154642	14.0503843519
ENSG00000154645	0.4676877495
ENSG00000154646	0.0000000000
ENSG00000154654	0.0000000000
ENSG00000154655	0.2010979773
ENSG00000066739	29.1657925606
ENSG00000154678	0.2164906073
ENSG00000154710	166.0805073579
ENSG00000154719	174.2852896734
ENSG00000154721	0.8863670469
ENSG00000154723	421.3900760407
ENSG00000154727	30.9688373889
ENSG00000154734	4.2940725895
ENSG00000154736	0.0000000000
ENSG00000154743	68.6460387281
ENSG00000154760	18.2200175129
ENSG00000066777	88.4980864817
ENSG00000154764	11.0475779599
ENSG00000154767	132.4326027873
ENSG00000154768	0.0000000000
ENSG00000154781	46.5012240350
ENSG00000154783	0.1068643284
ENSG00000154803	18.8447136473
ENSG00000154813	99.4266284134
ENSG00000154814	48.2901936272
ENSG00000154822	2.3733526616
ENSG00000154832	143.3695720431
ENSG00000066813	0.0000000000
ENSG00000154839	67.3002842888
ENSG00000154845	372.5018640169
ENSG00000154856	0.1563664273
ENSG00000154864	0.0000000000
ENSG00000154874	0.6155121995
ENSG00000154889	49.1257394952
ENSG00000154898	0.3573859188
ENSG00000154914	34.1666977028
ENSG00000154917	4.4115329125
ENSG00000154920	50.4393952798
ENSG00000066827	15.9892337479
ENSG00000154928	0.0000000000
ENSG00000154930	3.3622537649
ENSG00000154945	127.8068774150
ENSG00000154957	19.5995262110
ENSG00000154975	0.0000000000
ENSG00000154978	291.6553120683
ENSG00000154997	1.3067234555
ENSG00000154999	419.1918820034
ENSG00000155008	32.1056472278
ENSG00000155011	0.1101633374
ENSG00000066855	119.6068895543
ENSG00000155016	15.8795122792
ENSG00000155026	0.0000000000
ENSG00000155034	68.4099642918
ENSG00000155052	0.0000000000
ENSG00000155066	3.5386912875
ENSG00000155070	0.2660936007
ENSG00000155085	2.3171940485
ENSG00000155087	0.0000000000
ENSG00000155090	212.2597983798
ENSG00000155093	1.3089622278
ENSG00000005483	71.5380681072
ENSG00000066923	0.9702584120
ENSG00000155096	413.6409545587
ENSG00000155097	135.8035279296
ENSG00000155099	29.0769013113
ENSG00000155100	46.0324762731
ENSG00000155111	13.7546225313
ENSG00000155115	292.6314467823
ENSG00000155130	154.9634826896
ENSG00000155158	16.8048523945
ENSG00000155189	117.7450475071
ENSG00000155229	358.0967575168
ENSG00000066926	103.3696529365
ENSG00000155249	0.0000000000
ENSG00000155252	3.1138427283
ENSG00000155254	604.3721332682
ENSG00000155256	93.8523654951
ENSG00000155265	1.8598593007
ENSG00000155269	0.0000000000
ENSG00000155275	37.2087434200
ENSG00000155282	0.5027328154
ENSG00000155287	244.2762135166
ENSG00000155304	40.9593651327
ENSG00000066933	19.8076638455
ENSG00000155307	7.9818448666
ENSG00000155313	82.2677947073
ENSG00000155319	0.0000000000
ENSG00000155324	67.9754026331
ENSG00000155329	45.4318897474
ENSG00000155330	18.5980004278
ENSG00000155352	39.7120300308
ENSG00000155363	152.3209196004
ENSG00000155366	792.7633800180
ENSG00000155367	8.9529310662
ENSG00000067048	0.0000000000
ENSG00000155368	761.6567525427
ENSG00000155372	0.0000000000
ENSG00000155380	509.5408023835
ENSG00000155393	67.5160018144
ENSG00000155428	0.2717012836
ENSG00000155438	251.5384520473
ENSG00000155463	1043.3323757046
ENSG00000155465	3.5618026285
ENSG00000155495	0.0000000000
ENSG00000155506	860.4399738587
ENSG00000067057	1046.4629954544
ENSG00000155508	186.9147529225
ENSG00000155511	0.3573823442
ENSG00000155530	0.4440806536
ENSG00000155542	21.9604419105
ENSG00000155545	20.4530435245
ENSG00000155561	284.6997276548
ENSG00000155592	9.7269118879
ENSG00000155621	29.5067617652
ENSG00000155622	0.0000000000
ENSG00000155629	0.7498537872
ENSG00000067064	258.0113963991
ENSG00000155636	51.2221418399
ENSG00000155640	8.2610950338
ENSG00000155657	1.0318179923
ENSG00000155659	0.0000000000
ENSG00000155660	749.1661646077
ENSG00000155666	10.7963142512
ENSG00000155714	0.8956292878
ENSG00000155719	0.6709520162
ENSG00000155729	44.7270545486
ENSG00000155744	12.1974451821
ENSG00000067066	45.4207839306
ENSG00000155749	0.2767815708
ENSG00000155754	0.0000000000
ENSG00000155755	80.7530975800
ENSG00000155760	8.6448062694
ENSG00000155761	0.0000000000
ENSG00000155792	3.4929629966
ENSG00000155816	1.6468461891
ENSG00000155827	107.9536856095
ENSG00000155833	0.0000000000
ENSG00000155846	17.4200049778
ENSG00000067082	440.9689548256
ENSG00000155849	0.0000000000
ENSG00000155850	150.2119279923
ENSG00000155858	28.1244488105
ENSG00000155868	58.7334022300
ENSG00000155875	0.1035421213
ENSG00000155876	440.7334197569
ENSG00000155886	0.0000000000
ENSG00000155890	0.0000000000
ENSG00000155893	31.8939656224
ENSG00000155897	0.0000000000
ENSG00000067113	34.0669774322
ENSG00000155903	28.2885098837
ENSG00000155906	60.9005908725
ENSG00000155918	13.5925249707
ENSG00000155926	0.0000000000
ENSG00000155957	156.2719927466
ENSG00000155959	151.4477769744
ENSG00000155961	0.0000000000
ENSG00000155962	0.1453256221
ENSG00000155966	0.0862975216
ENSG00000155970	0.0000000000
ENSG00000067141	39.5907477085
ENSG00000155974	12.4699868285
ENSG00000155975	107.8724377005
ENSG00000155980	0.2147622720
ENSG00000155984	61.5089623620
ENSG00000156006	0.0000000000
ENSG00000156009	0.0000000000
ENSG00000156011	27.7185301976
ENSG00000156017	29.7475074111
ENSG00000156026	75.9985837198
ENSG00000156030	81.2808166215
ENSG00000005486	248.3294422388
ENSG00000067167	337.1424311763
